CustomerID,CreditScore,State,Age,Years,Balance,NumOfAccounts,HasCard,IsActiveMember,EstimatedSalary,CheckingAcct
15573171,695.0,New York,63.0,1,146202.93,1,1,1,126689,1
15573456,648.0,New York,46.0,9,127209.0,2,1,0,77406,1
15573599,506.0,New Jersey,57.0,6,0.0,2,0,1,194421,1
15573628,751.0,Connecticut,51.0,7,148074.79,1,1,0,146411,1
15573851,735.0,New Jersey,38.0,1,0.0,3,0,0,92220,1
15573888,648.0,Connecticut,43.0,1,107963.38,1,0,0,186439,1
15574012,645.0,New York,44.0,8,113755.78,2,1,0,149757,1
15574068,504.0,Connecticut,56.0,9,104217.3,1,0,0,55857,1
15574213,789.0,New Jersey,53.0,1,158271.74,1,1,1,5036,1
15574331,593.0,Connecticut,62.0,3,118233.81,1,0,1,24766,1
15574692,667.0,New York,39.0,2,0.0,2,1,0,40721,1
15574761,466.0,New Jersey,41.0,3,33563.95,2,1,0,178994,1
15574830,633.0,Connecticut,58.0,2,128137.42,2,1,0,147635,1
15575119,779.0,New Jersey,71.0,3,0.0,2,1,1,146895,1
15575147,699.0,New Jersey,22.0,9,99339.0,1,1,0,68298,1
15575759,583.0,New York,40.0,3,54428.37,1,1,0,109639,1
15575935,673.0,New Jersey,59.0,0,178058.06,2,0,1,21064,1
15576065,731.0,New York,40.0,5,171325.98,1,1,1,159718,1
15576196,743.0,New York,48.0,5,118207.69,2,0,0,186489,1
15576216,655.0,Connecticut,37.0,4,108862.76,1,1,0,79555,1
15576550,619.0,New York,38.0,1,0.0,1,1,0,112443,1
15576644,687.0,Connecticut,29.0,4,78939.15,1,1,0,122135,1
15576683,568.0,New York,43.0,9,0.0,1,1,0,125871,1
15576824,564.0,Connecticut,44.0,3,111760.4,3,1,1,104722,1
15576935,743.0,New York,43.0,2,161807.18,2,0,1,93229,1
15577078,539.0,New York,38.0,6,0.0,1,1,1,152880,1
15577107,657.0,New York,22.0,6,0.0,3,0,1,168412,1
15577178,511.0,New Jersey,45.0,5,68375.27,1,1,0,193160,1
15577313,619.0,New Jersey,44.0,3,116967.68,1,1,0,5075,1
15577359,767.0,New York,47.0,5,0.0,1,1,0,121964,1
15577423,627.0,Connecticut,39.0,5,124586.93,1,1,0,93133,1
15577515,554.0,Connecticut,55.0,0,108477.27,1,0,1,140003,1
15577587,550.0,Connecticut,52.0,5,121016.23,1,1,1,41730,1
15577771,453.0,Connecticut,40.0,1,111524.49,1,1,1,120374,1
15577999,850.0,New Jersey,62.0,1,124678.35,1,1,0,70916,1
15578045,538.0,New York,49.0,9,141434.04,1,0,0,173779,1
15578141,592.0,New York,38.0,3,0.0,1,1,1,12906,1
15578297,737.0,Connecticut,43.0,1,125537.38,1,1,0,138510,1
15578603,584.0,Connecticut,54.0,1,77354.37,1,0,0,138193,1
15578671,706.0,New York,29.0,1,209490.21,1,1,1,133268,1
15578761,459.0,New York,42.0,6,129634.25,2,1,1,177683,1
15578787,641.0,New Jersey,52.0,4,0.0,1,1,0,90965,1
15578799,625.0,New Jersey,58.0,10,53772.73,1,1,1,192072,1
15578809,651.0,Connecticut,40.0,1,134760.21,2,0,0,174434,1
15578865,632.0,Connecticut,50.0,5,107959.39,1,1,1,6985,1
15579130,708.0,Connecticut,43.0,0,118994.84,1,1,0,181500,1
15579212,638.0,New Jersey,57.0,6,0.0,1,1,0,33676,1
15579334,769.0,Connecticut,45.0,5,126674.81,1,1,0,124119,1
15579566,616.0,New York,43.0,3,120867.18,1,1,0,18762,1
15579617,489.0,New Jersey,51.0,3,0.0,2,0,1,174098,1
15579706,611.0,New Jersey,46.0,5,0.0,1,1,0,77677,1
15580148,750.0,Connecticut,40.0,5,168286.81,3,1,0,20452,1
15580579,490.0,New Jersey,40.0,1,0.0,1,1,1,49594,1
15580701,712.0,New Jersey,33.0,3,153819.58,1,1,0,79176,1
15580914,478.0,New York,48.0,0,83287.05,2,0,1,44148,1
15580956,683.0,Connecticut,43.0,4,115888.04,1,1,1,117349,1
15581036,712.0,Connecticut,40.0,3,109308.79,2,1,0,120159,1
15581198,668.0,Connecticut,39.0,0,122104.79,1,1,0,112947,1
15581440,724.0,Connecticut,48.0,6,110463.25,2,1,1,80552,1
15581626,664.0,New Jersey,54.0,8,0.0,1,1,1,162720,1
15581893,747.0,New Jersey,43.0,1,130788.71,1,0,1,101495,1
15582033,753.0,Connecticut,44.0,3,138076.47,1,1,0,15523,1
15582116,767.0,Connecticut,45.0,7,132746.2,2,1,0,26629,1
15582129,517.0,New Jersey,62.0,1,43772.66,3,1,0,187756,1
15582325,524.0,New Jersey,52.0,2,87894.26,1,1,0,173899,1
15582519,479.0,New Jersey,47.0,6,121797.09,1,0,1,5812,1
15582714,749.0,Connecticut,47.0,9,110022.74,1,0,1,135655,1
15582741,693.0,New Jersey,35.0,5,124151.09,1,1,0,88705,1
15582849,757.0,New Jersey,51.0,1,0.0,1,1,1,22835,1
15582892,601.0,New Jersey,46.0,2,99786.07,1,1,1,32684,1
15582910,514.0,New Jersey,38.0,4,112230.38,1,1,0,16717,1
15583073,771.0,New York,56.0,2,0.0,1,1,1,25223,1
15583137,637.0,New Jersey,48.0,7,130806.99,2,1,1,132006,1
15583353,610.0,New York,45.0,3,0.0,1,1,0,38277,1
15583371,632.0,New York,37.0,1,138207.08,1,1,0,60778,1
15583392,747.0,Connecticut,37.0,9,135776.36,3,1,0,85470,1
15583456,745.0,Connecticut,45.0,10,117231.63,3,1,1,122381,1
15583548,525.0,New York,47.0,6,118560.0,1,1,0,82523,1
15583580,566.0,Connecticut,35.0,1,123042.0,1,1,0,66245,1
15583840,587.0,Connecticut,35.0,5,121863.61,1,1,1,23482,1
15583863,681.0,Connecticut,49.0,8,142946.18,1,0,0,187281,1
15584037,727.0,Connecticut,58.0,5,106913.43,1,1,0,25881,1
15584090,621.0,New York,40.0,7,0.0,2,0,1,131284,1
15584091,742.0,Connecticut,36.0,2,129748.54,2,0,0,47272,1
15584113,823.0,Connecticut,53.0,4,124954.94,1,0,1,131260,1
15584156,593.0,New York,27.0,10,0.0,3,0,0,94620,1
15584364,652.0,New Jersey,48.0,4,59486.31,1,1,0,163944,1
15584532,709.0,New Jersey,36.0,7,0.0,1,0,1,42086,1
15584536,720.0,Connecticut,46.0,3,97042.6,1,1,1,133517,1
15584620,850.0,Connecticut,36.0,6,143644.16,1,1,0,22102,1
15585066,660.0,New Jersey,43.0,1,0.0,1,0,1,112026,1
15585067,634.0,New York,31.0,9,108632.48,1,1,1,179486,1
15585100,511.0,Connecticut,40.0,9,124401.6,1,1,0,198814,1
15585198,715.0,New Jersey,41.0,4,94267.9,1,0,1,152821,1
15585249,741.0,New Jersey,42.0,6,106036.52,1,1,0,194687,1
15585287,842.0,Connecticut,35.0,9,119948.09,1,1,0,48218,1
15585362,749.0,New Jersey,60.0,6,0.0,1,1,0,17979,1
15585367,555.0,Connecticut,46.0,4,120392.99,1,1,0,177720,1
15585580,796.0,Connecticut,52.0,9,167194.36,1,1,1,62809,1
15585853,743.0,New York,41.0,7,0.0,1,1,0,163736,1
15585865,673.0,New Jersey,38.0,2,170061.92,2,0,0,134901,1
15585888,553.0,New York,48.0,3,0.0,1,0,1,30731,1
15585901,717.0,New York,35.0,1,0.0,3,0,0,174770,1
15585985,746.0,New Jersey,48.0,5,165282.42,1,1,0,153786,1
15586133,666.0,Connecticut,44.0,2,122314.5,1,0,0,68575,1
15586236,704.0,New Jersey,31.0,5,132084.66,3,1,1,54474,1
15586264,572.0,New Jersey,43.0,2,140431.98,1,1,0,26451,1
15586479,692.0,New Jersey,36.0,4,0.0,1,1,0,185581,1
15586523,720.0,Connecticut,29.0,7,106230.92,1,1,1,69904,1
15586674,663.0,New York,58.0,5,216109.88,1,0,1,74177,1
15586976,566.0,New Jersey,42.0,6,0.0,1,1,0,180702,1
15587038,654.0,New York,32.0,2,0.0,1,1,1,51973,1
15587066,535.0,New Jersey,38.0,2,119272.29,1,0,0,195897,1
15587174,726.0,New Jersey,29.0,7,0.0,2,1,1,91844,1
15587233,457.0,New Jersey,41.0,8,73700.12,3,1,1,185750,1
15587419,611.0,New Jersey,58.0,8,0.0,2,0,1,107666,1
15587507,850.0,New Jersey,47.0,6,0.0,1,1,0,187391,1
15587611,537.0,New Jersey,59.0,9,0.0,2,0,0,103800,1
15587647,850.0,Connecticut,66.0,0,127120.62,1,0,1,118930,1
15588080,675.0,New Jersey,54.0,6,0.0,1,1,0,110274,1
15588090,726.0,Connecticut,51.0,8,107494.86,2,1,0,140938,1
15588248,617.0,New Jersey,28.0,0,0.0,2,1,1,7598,1
15588372,715.0,Connecticut,37.0,9,105489.31,1,0,0,143096,1
15588419,651.0,Connecticut,34.0,10,148962.46,1,1,0,66389,1
15588449,591.0,New York,27.0,5,107812.67,1,0,1,162502,1
15588614,753.0,New Jersey,57.0,7,0.0,1,1,0,159475,1
15588670,705.0,New York,40.0,5,203715.15,1,1,0,179979,1
15588695,833.0,New York,32.0,6,0.0,1,1,1,44323,1
15588859,496.0,New York,44.0,0,179356.28,2,1,0,2919,1
15588904,692.0,New Jersey,33.0,9,0.0,1,1,0,113506,1
15588944,456.0,New Jersey,63.0,1,165350.61,2,0,0,140758,1
15588955,581.0,Connecticut,43.0,5,93259.57,3,1,0,141036,1
15589017,547.0,Connecticut,55.0,4,111362.76,3,1,0,16922,1
15589076,737.0,New Jersey,36.0,9,0.0,1,0,1,188671,1
15589449,815.0,New Jersey,56.0,3,0.0,3,1,1,94248,1
15589475,591.0,New York,39.0,3,0.0,3,1,0,140469,1
15589572,785.0,New York,61.0,4,129855.72,2,1,0,170215,1
15589698,555.0,Connecticut,42.0,6,107104.5,1,1,1,41304,1
15589715,584.0,New Jersey,66.0,5,0.0,1,1,0,49553,1
15589793,604.0,New Jersey,53.0,8,144453.75,1,1,0,190999,1
15590146,630.0,New Jersey,50.0,1,81947.76,1,0,1,63606,1
15590201,500.0,New York,50.0,5,0.0,4,1,1,83866,1
15590234,697.0,New Jersey,42.0,1,0.0,1,1,0,1263,1
15590241,750.0,New York,34.0,9,112822.26,1,0,0,150402,1
15590337,659.0,New Jersey,29.0,6,123192.12,1,1,1,56971,1
15590349,732.0,New Jersey,36.0,9,0.0,1,0,0,3749,1
15590810,638.0,Connecticut,41.0,9,144326.09,1,1,0,73980,1
15591010,434.0,Connecticut,55.0,8,109339.17,2,1,0,96406,1
15591036,577.0,Connecticut,43.0,3,127940.47,1,0,0,125141,1
15591047,519.0,New York,47.0,6,157296.02,2,0,0,147278,1
15591091,644.0,New Jersey,44.0,5,73348.56,1,1,0,157167,1
15591107,723.0,Connecticut,68.0,3,110357.0,1,0,0,141978,1
15591169,788.0,Connecticut,49.0,4,137455.99,1,1,0,184178,1
15591286,731.0,Connecticut,49.0,4,88826.07,1,1,1,33759,1
15591512,564.0,Connecticut,33.0,2,115761.51,1,0,1,112350,1
15591698,849.0,Connecticut,49.0,9,132934.89,1,1,0,171057,1
15591740,590.0,New Jersey,54.0,4,0.0,2,1,1,93820,1
15591915,533.0,New Jersey,39.0,2,0.0,1,0,1,73670,1
15591985,708.0,New Jersey,51.0,8,70754.18,1,1,1,92920,1
15591986,621.0,Connecticut,46.0,6,141078.37,1,0,0,34581,1
15592000,781.0,Connecticut,48.0,9,82794.18,1,1,0,124721,1
15592104,655.0,New Jersey,41.0,5,0.0,1,0,0,36548,1
15592229,713.0,New Jersey,52.0,0,185891.54,1,1,1,46370,1
15592387,566.0,New Jersey,30.0,5,0.0,1,1,0,54927,1
15592412,713.0,Connecticut,45.0,4,131038.14,1,1,0,74005,1
15592583,731.0,New Jersey,47.0,1,115414.19,3,0,0,191735,1
15592716,559.0,New Jersey,52.0,2,0.0,1,1,0,129014,1
15592736,551.0,Connecticut,54.0,5,102994.04,1,1,0,176680,1
15592751,684.0,Connecticut,63.0,3,81245.79,1,1,0,69643,1
15592773,630.0,Connecticut,51.0,0,108449.23,3,0,0,88373,1
15592816,623.0,Connecticut,48.0,1,108076.33,1,1,0,118855,1
15592925,711.0,New York,42.0,3,177626.77,3,0,1,16393,1
15593094,516.0,New Jersey,27.0,9,0.0,1,1,0,142681,1
15593128,608.0,New Jersey,56.0,10,129255.2,2,1,0,142492,1
15593178,568.0,New York,36.0,10,153610.61,1,1,1,54084,1
15593283,705.0,Connecticut,48.0,1,156848.13,2,1,1,99476,1
15593425,662.0,New York,54.0,1,187997.15,1,0,0,111443,1
15593499,686.0,New York,47.0,6,0.0,1,1,0,32081,1
15593510,638.0,Connecticut,33.0,5,129335.65,1,1,1,56585,1
15593736,598.0,Connecticut,46.0,7,131769.04,1,0,0,184980,1
15593778,779.0,New Jersey,29.0,3,46388.16,3,1,0,127939,1
15593782,816.0,Connecticut,38.0,5,130878.75,3,1,0,71906,1
15593795,516.0,Connecticut,53.0,1,156674.2,1,1,0,118502,1
15593834,691.0,New York,36.0,7,129934.64,1,0,0,75665,1
15593969,630.0,New York,39.0,7,135483.17,1,1,0,140881,1
15593976,578.0,Connecticut,31.0,5,102088.68,4,0,0,187866,1
15594133,697.0,New York,62.0,7,0.0,1,1,0,129188,1
15594340,569.0,New Jersey,41.0,4,120243.49,1,1,0,163150,1
15594391,770.0,New Jersey,68.0,2,183555.24,1,0,0,159557,1
15594408,584.0,New York,48.0,2,213146.2,1,1,0,75161,1
15594456,740.0,New York,56.0,4,99097.33,1,1,1,85017,1
15594515,568.0,New Jersey,44.0,7,0.0,2,0,0,62371,1
15594612,702.0,New York,44.0,9,0.0,1,0,0,59207,1
15594878,661.0,New York,41.0,5,28082.95,1,1,0,69586,1
15594898,731.0,New Jersey,43.0,2,0.0,1,1,1,170035,1
15595039,545.0,Connecticut,37.0,8,114754.08,1,1,0,136050,1
15595228,815.0,New Jersey,45.0,7,0.0,1,0,1,52885,1
15595303,736.0,Connecticut,46.0,5,130812.91,1,1,1,77982,1
15595324,579.0,Connecticut,39.0,5,117833.3,3,0,0,5831,1
15595426,603.0,New York,57.0,6,105000.85,2,1,1,87412,1
15595592,708.0,New Jersey,59.0,2,0.0,1,1,0,179673,1
15595728,523.0,Connecticut,41.0,0,119276.31,1,0,0,122284,1
15595842,748.0,Connecticut,45.0,2,119852.01,1,0,0,73854,1
15596013,694.0,Connecticut,58.0,1,143212.22,1,0,0,102629,1
15596175,659.0,Connecticut,67.0,6,117411.6,1,1,1,45071,1
15596181,542.0,New Jersey,38.0,8,65942.26,1,1,1,68093,1
15596303,688.0,New Jersey,39.0,0,0.0,2,1,0,53222,1
15596455,546.0,New York,45.0,2,0.0,1,0,0,197790,1
15596552,535.0,Connecticut,48.0,5,134542.73,1,1,1,58204,1
15596671,603.0,New York,42.0,8,91611.12,1,0,0,144675,1
15596761,515.0,Connecticut,60.0,9,113715.36,1,1,0,18424,1
15596800,779.0,Connecticut,33.0,1,158456.76,1,1,1,197001,1
15596870,749.0,Connecticut,54.0,3,144768.94,1,1,0,93336,1
15596984,629.0,New Jersey,31.0,6,0.0,1,1,1,16448,1
15596992,482.0,Connecticut,45.0,7,156353.46,1,1,0,72644,1
15597602,619.0,Connecticut,57.0,3,137946.39,1,1,1,72468,1
15597709,602.0,New Jersey,39.0,6,154121.32,2,1,0,176615,1
15597896,365.0,Connecticut,30.0,0,127760.07,1,1,0,81538,1
15597914,641.0,Connecticut,51.0,2,117306.69,4,1,1,26913,1
15597930,646.0,New Jersey,52.0,8,59669.43,1,0,0,172496,1
15597949,768.0,Connecticut,47.0,5,104552.61,1,1,0,48137,1
15597968,617.0,New York,50.0,7,0.0,1,1,0,184840,1
15598086,624.0,New Jersey,45.0,3,68639.57,1,1,0,168002,1
15598744,576.0,Connecticut,71.0,6,140273.47,1,1,1,193135,1
15598751,556.0,New Jersey,43.0,6,0.0,3,0,0,125155,1
15598982,602.0,Connecticut,53.0,5,98268.84,1,0,1,45038,1
15599126,529.0,New Jersey,43.0,0,123815.86,1,1,1,78464,1
15599211,707.0,New Jersey,40.0,1,0.0,2,1,0,14090,1
15599329,697.0,New Jersey,49.0,7,195238.29,4,0,1,131084,1
15599722,609.0,New York,43.0,6,86053.52,2,1,1,113276,1
15599860,647.0,New York,26.0,8,109958.15,1,1,1,136592,1
15600337,661.0,New York,42.0,2,178820.91,1,0,0,29359,1
15600392,735.0,New Jersey,53.0,8,123845.36,2,0,1,170455,1
15600399,598.0,New Jersey,60.0,4,0.0,1,1,0,197727,1
15600934,758.0,New Jersey,52.0,7,125095.94,1,1,0,171190,1
15600974,516.0,New York,50.0,5,0.0,1,0,1,146146,1
15600975,556.0,New Jersey,54.0,4,150005.38,1,1,0,157016,1
15600991,694.0,Connecticut,31.0,6,109052.59,2,1,1,19449,1
15601012,802.0,New Jersey,60.0,3,92887.06,1,1,0,39474,1
15601410,744.0,New York,46.0,1,0.0,3,1,1,177432,1
15601569,598.0,New Jersey,40.0,2,171178.25,1,1,0,137981,1
15601594,698.0,New Jersey,51.0,6,144237.91,4,1,0,157144,1
15601659,496.0,Connecticut,59.0,7,91680.1,2,1,0,163141,1
15601787,641.0,Connecticut,35.0,2,103711.56,1,0,1,192464,1
15601811,668.0,New Jersey,53.0,10,110240.04,1,0,0,183981,1
15601857,705.0,Connecticut,46.0,4,115518.07,1,0,0,76545,1
15602010,850.0,Connecticut,45.0,5,103909.86,1,1,0,60083,1
15602280,829.0,Connecticut,27.0,9,112045.67,1,1,1,119708,1
15602282,587.0,Connecticut,45.0,8,134980.74,1,1,1,123310,1
15602647,729.0,Connecticut,39.0,6,127415.85,1,1,1,184977,1
15602731,724.0,New Jersey,31.0,5,0.0,1,1,0,134890,1
15602735,692.0,Connecticut,45.0,6,152296.83,4,0,1,108041,1
15602797,645.0,New York,49.0,5,110132.55,3,0,1,187690,1
15603096,410.0,New Jersey,33.0,6,125789.69,1,0,0,66334,1
15603111,850.0,New York,71.0,10,69608.14,1,1,0,97893,1
15603135,634.0,Connecticut,59.0,3,95727.05,1,0,0,97939,1
15603170,654.0,New Jersey,32.0,9,121455.65,1,1,0,190069,1
15603465,665.0,Connecticut,45.0,5,155447.65,2,1,0,51872,1
15603554,513.0,New Jersey,45.0,0,164649.52,3,1,0,49916,1
15603565,603.0,New York,56.0,5,90778.76,2,1,0,162224,1
15603749,564.0,New Jersey,53.0,2,45472.28,1,1,1,41056,1
15603764,560.0,New Jersey,49.0,4,0.0,1,1,1,100075,1
15603846,711.0,New York,37.0,2,0.0,2,1,0,83979,1
15603851,704.0,New Jersey,32.0,7,127785.17,4,0,0,184465,1
15603880,519.0,Connecticut,38.0,1,114141.64,1,1,1,60988,1
15603914,614.0,New Jersey,40.0,6,0.0,1,1,1,20340,1
15603942,547.0,Connecticut,50.0,3,81290.02,3,0,1,177747,1
15604093,546.0,New Jersey,34.0,4,165363.31,2,1,1,25744,1
15604138,749.0,New York,34.0,2,0.0,1,0,0,174189,1
15604706,581.0,Connecticut,38.0,1,133105.47,1,1,0,105733,1
15605000,550.0,New Jersey,38.0,9,140278.99,3,1,1,171457,1
15605020,651.0,New Jersey,45.0,2,165901.59,2,1,0,23055,1
15605037,818.0,New Jersey,49.0,2,0.0,1,0,1,192299,1
15605059,576.0,Connecticut,63.0,3,148843.56,1,1,0,69414,1
15605072,638.0,New Jersey,43.0,3,145860.98,1,1,1,142764,1
15605275,725.0,Connecticut,45.0,8,116917.07,1,0,0,173464,1
15605279,792.0,New Jersey,50.0,9,0.0,4,1,1,194701,1
15605286,565.0,New Jersey,55.0,4,118803.35,2,1,1,128125,1
15605534,644.0,Connecticut,51.0,4,95560.04,1,0,0,72629,1
15605698,746.0,New Jersey,58.0,3,0.0,3,1,1,80345,1
15605742,737.0,New Jersey,43.0,0,80090.93,1,1,0,39920,1
15605826,652.0,Connecticut,46.0,10,121063.8,3,1,0,151482,1
15605916,659.0,New Jersey,50.0,3,0.0,1,1,0,183399,1
15606097,665.0,Connecticut,63.0,7,104469.58,1,1,1,25165,1
15606115,510.0,New Jersey,52.0,6,191665.21,1,1,1,131313,1
15606273,616.0,New Jersey,37.0,5,144235.73,2,0,0,154958,1
15606386,753.0,Connecticut,46.0,3,111512.75,3,1,0,159577,1
15606397,577.0,Connecticut,44.0,1,152086.15,1,0,1,44720,1
15606613,655.0,New Jersey,59.0,7,0.0,1,1,0,88958,1
15606641,762.0,Connecticut,56.0,10,100260.88,3,1,1,77142,1
15606755,597.0,New York,46.0,4,0.0,2,1,0,58667,1
15606887,775.0,New Jersey,30.0,5,0.0,1,1,0,193881,1
15606944,645.0,Connecticut,43.0,9,140121.17,1,1,0,11303,1
15607133,717.0,New York,49.0,1,110864.38,2,1,1,124533,1
15607263,788.0,New Jersey,55.0,3,0.0,1,0,1,13288,1
15607275,850.0,New York,39.0,6,206014.94,2,0,1,42775,1
15607312,648.0,New York,49.0,10,0.0,2,1,1,159836,1
15607314,536.0,New York,53.0,2,143923.96,1,1,0,2020,1
15607347,734.0,New Jersey,22.0,5,130056.23,1,0,0,121894,1
15607526,638.0,Connecticut,50.0,1,102645.48,1,1,0,168360,1
15607537,587.0,Connecticut,46.0,9,107850.82,1,1,0,139431,1
15608246,736.0,Connecticut,36.0,8,103914.17,1,1,1,110036,1
15608338,757.0,New York,55.0,9,117294.12,4,1,0,94187,1
15608344,749.0,Connecticut,29.0,7,137059.05,3,1,0,102976,1
15608381,585.0,Connecticut,50.0,2,125845.66,1,1,0,9439,1
15608406,678.0,New Jersey,26.0,5,111128.04,1,1,0,60941,1
15608528,645.0,New Jersey,68.0,9,0.0,4,1,1,176354,1
15608541,498.0,New Jersey,46.0,1,91857.66,1,1,0,101955,1
15608588,563.0,Connecticut,41.0,2,100520.92,1,1,1,19413,1
15608653,521.0,New York,34.0,7,70731.07,1,1,1,20244,1
15608701,651.0,Connecticut,29.0,3,121890.06,1,1,0,54531,1
15609011,480.0,New York,47.0,8,75408.33,1,1,0,25888,1
15609070,515.0,Connecticut,45.0,7,120961.5,3,1,1,39288,1
15609083,544.0,New Jersey,26.0,6,0.0,1,1,0,100200,1
15609558,835.0,Connecticut,47.0,5,108289.28,2,1,1,45860,1
15609618,721.0,Connecticut,28.0,9,154475.54,2,0,1,101301,1
15609623,637.0,New Jersey,63.0,5,0.0,1,1,0,28093,1
15609653,614.0,Connecticut,44.0,6,118715.86,1,1,0,133591,1
15609704,608.0,New Jersey,33.0,4,0.0,1,1,0,79304,1
15609735,533.0,Connecticut,51.0,6,127545.56,2,0,0,79559,1
15609758,537.0,New Jersey,45.0,7,158621.04,1,1,0,120893,1
15609824,794.0,New Jersey,41.0,7,176845.41,3,1,0,166526,1
15609998,700.0,Connecticut,59.0,5,137648.41,1,1,0,142977,1
15610343,705.0,New Jersey,37.0,10,0.0,2,1,1,13936,1
15610383,628.0,New Jersey,46.0,1,46870.43,4,1,0,31272,1
15610416,745.0,New Jersey,36.0,9,0.0,1,1,0,19605,1
15610446,714.0,New Jersey,51.0,4,88308.87,3,0,0,5863,1
15610686,850.0,New Jersey,63.0,8,169832.57,1,0,0,184107,1
15610900,770.0,New Jersey,70.0,9,110738.89,1,1,0,22667,1
15610972,681.0,Connecticut,44.0,4,91115.76,2,0,0,24209,1
15611058,702.0,Connecticut,60.0,5,138597.54,2,1,1,41537,1
15611186,609.0,New Jersey,37.0,1,39344.83,1,1,1,178292,1
